STM32 Time sec,Solar mA,Main mA,Solar 10mV,Main 10mV,Accel-Z milliGee,IMU Temp 10mC,MPPT Setpoint
1.0,-0.1,-6.8,0.0,2527.5,-180.2,2330.9,2000.0
2.0,11.3,4.2,0.0,2534.1,-327.5,2330.9,2000.0
3.0,2.6,7.2,0.0,2539.6,-447.8,2335.5,2000.0
4.0,2.7,-0.8,0.0,2534.1,-546.1,2334.0,2000.0
5.0,0.0,-5.1,0.0,2538.4,-626.4,2337.1,2000.0
6.0,5.9,1.6,0.0,2534.6,-692.0,2326.2,2000.0
7.0,6.7,-2.1,0.0,2536.0,-745.6,2336.3,2000.0
46827.2,190.5,0.8,0.0,2495.9,1003.0,2789.1,2000.0
46828.2,156.1,-1.9,0.0,2497.4,1003.9,2789.1,2000.0
46829.2,114.9,-2.9,0.0,2499.8,1004.5,2788.3,2000.0
46830.2,130.3,-4.5,0.0,2494.0,1004.8,2790.2,2000.0
46831.2,155.5,4.3,0.0,2495.7,1005.2,2788.7,2000.0
46950.2,176.5,-1.7,0.0,2493.3,1021.9,2455.1,2000.0
46951.2,116.8,-3.0,0.0,2505.1,1019.5,2461.7,2000.0
46952.2,120.0,-3.5,0.0,2496.5,1016.8,2469.5,2000.0
46953.2,117.0,-5.4,0.0,2489.6,1014.8,2466.8,2000.0
46954.2,117.0,-4.9,0.0,2497.1,1013.3,2466.0,2000.0
46955.2,117.0,-4.1,0.0,2492.4,1011.9,2466.0,2000.0
46956.2,115.7,-2.4,0.0,2501.4,1010.8,2462.1,2000.0
46957.2,118.4,-2.4,0.0,2496.2,1009.9,2465.2,2000.0
46958.2,119.3,-3.5,0.0,2485.3,1009.2,2466.0,2000.0
46959.2,117.3,-1.1,0.0,2495.5,1008.6,2466.8,2000.0
46960.2,117.4,-4.0,0.0,2495.4,1008.1,2462.9,2000.0
46961.2,118.6,-3.2,0.0,2496.2,1007.8,2462.1,2000.0
46962.2,117.6,-3.2,0.0,2495.9,1007.4,2458.2,2000.0
46963.2,115.5,-2.5,0.0,2488.7,1007.2,2462.9,2000.0
46964.2,116.8,-3.7,0.0,2494.8,1007.0,2459.8,2000.0
46965.2,115.8,-2.9,0.0,2496.4,1006.8,2459.0,2000.0
46966.2,116.2,-2.1,0.0,2491.9,1006.7,2461.3,2000.0
46967.2,118.4,-2.4,0.0,2497.3,1006.5,2455.1,2000.0
46968.2,114.6,-1.3,0.0,2490.3,1006.4,2459.0,2000.0
46969.2,115.8,-1.9,0.0,2507.4,1006.3,2459.8,2000.0
47069.3,114.7,-2.2,0.0,2490.1,950.6,2271.9,2000.0
47070.3,117.1,-3.0,0.0,2500.6,960.4,2278.5,2000.0
47071.3,113.9,-3.0,0.0,2495.7,968.6,2285.9,2000.0
47072.3,110.9,-1.6,0.0,2490.5,975.4,2282.4,2000.0
47073.3,108.8,-1.7,0.0,2497.7,981.0,2286.3,2000.0
47074.3,106.5,-3.2,0.0,2491.3,985.6,2286.7,2000.0
47075.3,101.4,-1.9,0.0,2504.0,989.3,2280.1,2000.0
47076.3,100.4,-4.8,0.0,2496.4,992.4,2282.0,2000.0
47077.3,99.9,-4.1,0.0,2486.7,994.9,2284.0,2000.0
47078.3,100.3,-3.8,0.0,2496.7,997.0,2285.2,2000.0
